time,open,high,low,close
2025-10-29 21:05:00,111489.44,111541.98,111452.0,111522.5
2025-10-29 21:10:00,111522.5,111541.97,111389.11,111389.11
2025-10-29 21:15:00,111389.11,111530.16,111389.11,111520.93
2025-10-29 21:20:00,111520.93,111527.71,111443.34,111527.7
2025-10-29 21:25:00,111527.7,111566.34,111500.99,111545.71
2025-10-29 21:30:00,111545.72,111776.16,111545.72,111776.15
2025-10-29 21:35:00,111776.16,111800.0,111711.4,111751.56
2025-10-29 21:40:00,111751.55,111751.56,111612.12,111612.12
2025-10-29 21:45:00,111612.13,111687.51,111460.0,111676.26
2025-10-29 21:50:00,111676.26,111676.26,111597.58,111607.84
2025-10-29 21:55:00,111607.84,111678.71,111521.99,111617.26
2025-10-29 22:00:00,111617.26,111618.46,111488.9,111523.44
2025-10-29 22:05:00,111523.43,111561.49,111242.53,111542.94
2025-10-29 22:10:00,111542.94,111553.9,111348.72,111442.04
2025-10-29 22:15:00,111442.03,111511.3,111341.72,111415.3
2025-10-29 22:20:00,111415.31,111415.31,111348.0,111395.48
2025-10-29 22:25:00,111395.49,111411.11,111180.0,111220.18
2025-10-29 22:30:00,111220.17,111220.17,111150.01,111156.94
2025-10-29 22:35:00,111156.93,111166.46,111112.4,111162.0
2025-10-29 22:40:00,111161.99,111252.44,111132.86,111132.86
2025-10-29 22:45:00,111132.86,111194.95,111132.86,111137.68
2025-10-29 22:50:00,111137.69,111250.0,111126.91,111242.68
2025-10-29 22:55:00,111242.68,111242.69,110949.68,111028.2
2025-10-29 23:00:00,111028.2,111077.76,110881.15,110911.12
2025-10-29 23:05:00,110911.12,110922.44,110705.33,110715.97
2025-10-29 23:10:00,110715.96,110737.63,110584.94,110584.95
2025-10-29 23:15:00,110584.95,110733.21,110573.84,110704.91
2025-10-29 23:20:00,110704.92,110733.21,110437.14,110478.88
2025-10-29 23:25:00,110478.89,110533.06,110463.59,110463.59
2025-10-29 23:30:00,110463.6,110463.6,110318.9,110318.91
2025-10-29 23:35:00,110318.91,110328.27,109923.49,109930.04
2025-10-29 23:40:00,109930.03,110051.02,109733.22,110003.25
2025-10-29 23:45:00,110003.25,110079.41,109920.0,109950.01
2025-10-29 23:50:00,109950.01,110125.04,109925.76,110033.25
2025-10-29 23:55:00,110033.26,110153.84,110007.74,110021.29
2025-10-30 00:00:00,110021.3,110108.72,109961.07,109980.47
2025-10-30 00:05:00,109980.47,110022.0,109703.43,109748.92
2025-10-30 00:10:00,109748.92,110154.82,109748.91,110150.92
2025-10-30 00:15:00,110150.92,110300.01,110108.62,110293.69
2025-10-30 00:20:00,110293.69,110333.33,110227.71,110331.05
2025-10-30 00:25:00,110331.04,110402.52,110287.54,110386.98
2025-10-30 00:30:00,110386.99,110472.52,110326.99,110427.68
2025-10-30 00:35:00,110427.67,110488.77,110254.65,110265.8
2025-10-30 00:40:00,110265.81,110519.81,110265.81,110440.23
2025-10-30 00:45:00,110440.23,110556.31,110373.57,110529.35
2025-10-30 00:50:00,110529.35,110567.05,110491.93,110514.01
2025-10-30 00:55:00,110514.01,110583.86,110480.0,110559.48
2025-10-30 01:00:00,110559.48,110559.48,110281.24,110281.24
2025-10-30 01:05:00,110281.24,110491.68,110257.77,110491.68
2025-10-30 01:10:00,110491.68,110611.74,110455.45,110505.02
2025-10-30 01:15:00,110505.02,110595.7,110463.57,110564.64
