date,open,high,low,close
2018-08-31,7.8726105400,8.0202705600,7.8492958000,7.8726105400
2018-09-03,7.8415242200,8.0047274000,7.8415242200,7.9192400200
2018-09-04,7.9270116000,8.1990169000,7.8259810600,8.1057579400
2018-09-05,8.0047274000,8.0280421400,7.8104379000,7.8104379000
2018-09-06,7.8104379000,7.8803821200,7.7327221000,7.7482652600
2018-09-07,7.8026663200,7.9114684400,7.7171789400,7.7793515800
2018-09-10,7.7793515800,7.8259810600,7.6472347200,7.6783210400
2018-09-11,7.6938642000,7.7948947400,7.6239199800,7.7016357800
2018-09-12,7.6705494600,7.7482652600,7.6316915600,7.6783210400
2018-09-13,7.8415242200,7.8492958000,7.6472347200,7.7404936800
2018-09-14,7.7560368400,7.7560368400,7.6239199800,7.6472347200
2018-09-17,7.6161484000,7.6161484000,7.5228894400,7.5306610200
2018-09-18,7.5617473400,7.8648389600,7.5384326000,7.8337526400
2018-09-19,7.7948947400,8.0358137200,7.7948947400,7.9580979200
2018-09-20,7.9814126600,8.0513568800,7.9192400200,7.9503263400
2018-09-21,7.9736410800,8.3155906000,7.9114684400,8.2922758600
2018-09-25,8.1757021600,8.3000474400,8.1446158400,8.1990169000
2018-09-26,8.2456463800,8.4865653600,8.1757021600,8.3233621800
2018-09-27,8.2767327000,8.4243927200,8.2145600600,8.3466769200
2018-09-28,8.3777632400,8.7585706600,8.3777632400,8.5875959000
2018-10-08,8.3155906000,8.3855348200,8.1213011000,8.1213011000
2018-10-09,8.1290726800,8.3155906000,8.0746716200,8.2067884800
2018-10-10,8.1912453200,8.2845042800,8.0669000400,8.1213011000
2018-10-11,7.8104379000,7.8959252800,7.5384326000,7.6627778800
2018-10-12,7.7482652600,8.0358137200,7.6705494600,8.0047274000
2018-10-15,8.0746716200,8.1368442600,7.8415242200,7.8570673800
2018-10-16,7.8803821200,8.1912453200,7.8648389600,8.0591284600
2018-10-17,8.1601590000,8.1990169000,7.8803821200,8.0280421400
2018-10-18,7.9969558200,7.9969558200,7.8182094800,7.8415242200
2018-10-19,7.7327221000,8.3777632400,7.7094073600,8.3622200800
2018-10-22,8.4010779800,8.9062306800,8.3777632400,8.6653117000
2018-10-23,8.7041696000,8.7197127600,8.3389053400,8.4243927200
