time,open,high,low,close
20240312113000000,8.7571218700,8.7907062300,8.7487257800,8.7907062300
20240312140000000,8.7823101400,8.8914593100,8.7823101400,8.8494788600
20240312150000000,8.8494788600,8.8662710400,8.8158945000,8.8662710400
20240313103000000,8.8410827700,8.8410827700,8.6647648800,8.6647648800
20240313113000000,8.6647648800,8.6983492400,8.6479727000,8.6899531500
20240313140000000,8.6899531500,8.7151414200,8.6731609700,8.6983492400
20240313150000000,8.6983492400,8.7067453300,8.6563687900,8.6731609700
20240314103000000,8.6479727000,8.7151414200,8.6227844300,8.6563687900
20240314113000000,8.6563687900,8.6899531500,8.6479727000,8.6563687900
20240314140000000,8.6647648800,8.6647648800,8.6143883400,8.6227844300
20240314150000000,8.6227844300,8.6227844300,8.5640118000,8.5892000700
20240315103000000,8.8578749500,9.0174006600,8.8158945000,8.9754202100
20240315113000000,8.9754202100,8.9754202100,8.8830632200,8.9166475800
20240315140000000,8.9166475800,8.9250436700,8.8578749500,8.8830632200
20240315150000000,8.8830632200,8.9334397600,8.8746671300,8.8998554000
20240318103000000,8.8662710400,8.9082514900,8.8074984100,8.8662710400
20240318113000000,8.8662710400,8.8746671300,8.8242905900,8.8494788600
20240318140000000,8.8494788600,8.8578749500,8.8326866800,8.8410827700
20240318150000000,8.8410827700,8.8494788600,8.8158945000,8.8494788600
20240319103000000,8.8410827700,8.8410827700,8.7823101400,8.7907062300
20240319113000000,8.7907062300,8.7907062300,8.7403296900,8.7487257800
20240319140000000,8.7487257800,8.7739140500,8.7403296900,8.7571218700
20240319150000000,8.7571218700,8.7571218700,8.7235375100,8.7319336000
20240320103000000,8.7151414200,8.7823101400,8.7067453300,8.7319336000
20240320113000000,8.7319336000,8.7907062300,8.7319336000,8.7823101400
20240320140000000,8.7823101400,8.7907062300,8.7571218700,8.7571218700
20240320150000000,8.7571218700,8.7823101400,8.7571218700,8.7739140500
20240321103000000,8.7739140500,8.8326866800,8.7487257800,8.7907062300
20240321113000000,8.7907062300,8.8242905900,8.7823101400,8.7991023200
20240321140000000,8.7991023200,8.8074984100,8.7739140500,8.8074984100
20240321150000000,8.8074984100,8.8074984100,8.7823101400,8.7907062300
20240322103000000,8.7739140500,8.7739140500,8.6899531500,8.6983492400
20240322113000000,8.6983492400,8.6983492400,8.6563687900,8.6647648800
20240322140000000,8.6731609700,8.7235375100,8.6563687900,8.6899531500
20240322150000000,8.6983492400,8.7235375100,8.6815570600,8.6983492400
20240325103000000,8.6899531500,8.7655179600,8.6647648800,8.7403296900
20240325113000000,8.7403296900,8.8074984100,8.7319336000,8.7907062300
20240325140000000,8.7907062300,8.7907062300,8.7655179600,8.7655179600
20240325150000000,8.7655179600,8.7907062300,8.7319336000,8.7319336000
20240326103000000,8.7739140500,8.9418358500,8.7487257800,8.9250436700
20240326113000000,8.9250436700,8.9250436700,8.8494788600,8.8494788600
20240326140000000,8.8578749500,8.8746671300,8.8326866800,8.8494788600
20240326150000000,8.8494788600,8.8998554000,8.8410827700,8.8998554000
20240327103000000,8.8662710400,8.9082514900,8.8242905900,8.8746671300
20240327113000000,8.8746671300,8.8914593100,8.8494788600,8.8746671300
20240327140000000,8.8830632200,8.9082514900,8.8578749500,8.8914593100
20240327150000000,8.8914593100,8.9250436700,8.8326866800,8.8410827700
20240328103000000,8.8242905900,8.8410827700,8.7151414200,8.7739140500
20240328113000000,8.7739140500,8.8578749500,8.7655179600,8.8326866800
20240328140000000,8.8326866800,8.8746671300,8.8074984100,8.8158945000
20240328150000000,8.8158945000,8.8158945000,8.7655179600,8.8074984100
